         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	          Cd	          Na	 m_Gth_sOCd+	  m_Mn_sOCd+	  m_Mn_wOCd+	      m_Cd+2	
           1	      i_soln	           1	         -99	         -99	         -99	           3	           4	         -99	      25.000	 -0.00109694	   0.0105502	       0.025	 2.74681e-05	     5.20754	  8.9000e-07	  1.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.7564e-07	
           1	       react	           1	         -99	           0	           1	      3.1979	     17.0213	  4.0000e-06	      25.000	-0.000695188	   0.0104268	   0.0250001	 2.15486e-05	     4.13363	  8.7927e-07	  1.0160e-02	  2.7981e-12	  4.7339e-09	  5.9881e-09	  8.6506e-07	
           1	       react	           1	         -99	           0	           2	     3.30402	        16.9	  8.0000e-06	      25.000	-0.000544489	   0.0104317	   0.0250001	 2.17645e-05	     4.17307	  8.7281e-07	  1.0320e-02	  4.5152e-12	  7.5856e-09	  9.5955e-09	  8.5871e-07	
           1	       react	           1	         -99	           0	           3	     3.44219	     16.7421	  1.2000e-05	      25.000	-0.000396122	   0.0104379	   0.0250002	 2.20366e-05	     4.22274	  8.5844e-07	  1.0480e-02	  8.3510e-12	  1.3927e-08	  1.7618e-08	  8.4457e-07	
           1	       react	           1	         -99	           0	           4	      3.6381	     16.5182	  1.6000e-05	      25.000	-0.000252311	   0.0104462	   0.0250003	 2.24187e-05	     4.29248	  8.1715e-07	  1.0640e-02	  1.9406e-11	  3.2148e-08	  4.0671e-08	  8.0395e-07	
           1	       react	           1	         -99	           0	           5	     3.95883	     16.1516	  2.0000e-05	      25.000	-0.000120565	   0.0104605	   0.0250004	 2.30923e-05	     4.41535	  6.4481e-07	  1.0800e-02	  6.5279e-11	  1.0819e-07	  1.3692e-07	  6.3440e-07	
           1	       react	           1	         -99	           0	           6	     4.54346	     15.4835	  2.4000e-05	      25.000	-3.13789e-05	   0.0104954	   0.0250004	 2.48128e-05	     4.72832	  1.4117e-07	  1.0960e-02	  1.8885e-10	  3.3024e-07	  4.1839e-07	  1.3889e-07	
           1	       react	           1	         -99	           0	           7	     5.22556	     14.7039	  2.8000e-05	      25.000	-6.52403e-06	   0.0105629	   0.0250005	 2.81722e-05	     5.33407	  7.9808e-09	  1.1120e-02	  1.9443e-10	  3.8892e-07	  4.9288e-07	  7.8520e-09	
           1	       react	           1	         -99	           0	           8	      5.7682	     14.0837	  3.2000e-05	      25.000	-1.86455e-06	   0.0106406	   0.0250006	 3.20509e-05	     6.02412	  7.6134e-10	  1.1280e-02	  1.8302e-10	  3.9211e-07	  4.9693e-07	  7.4905e-10	
           1	       react	           1	         -99	           0	           9	     6.18847	     13.6034	  3.6000e-05	      25.000	-6.93742e-07	     0.01072	   0.0250006	 3.60198e-05	     6.71991	  1.2932e-10	  1.1440e-02	  1.8718e-10	  3.9238e-07	  4.9728e-07	  1.2722e-10	
