        step	          pH	          pe	          Ca	           S	          Fe	          Al	          Mn	        C(4)	      Gypsum	    d_Gypsum	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Gibbsite	  d_Gibbsite	     Calcite	   d_Calcite	  si_Calcite	   si_Gypsum	si_Fe(OH)3(a)	 si_Gibbsite	
         -99	           2	           4	  0.0000e+00	  2.7158e-02	  9.8820e-03	  7.4378e-03	  9.1323e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	   -999.9990	     -3.8391	     -5.6486	
           1	     2.02702	     10.5963	  5.0000e-04	  2.7158e-02	  9.8819e-03	  7.4378e-03	  9.1322e-04	  1.3438e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8032	     -1.5219	     -3.7619	     -5.5717	
           2	     2.05562	     10.5935	  9.9998e-04	  2.7157e-02	  9.8819e-03	  7.4377e-03	  9.1321e-04	  1.3437e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.4462	     -1.2180	     -3.6800	     -5.4901	
           3	       2.086	     10.5907	  1.5000e-03	  2.7157e-02	  9.8818e-03	  7.4376e-03	  9.1321e-04	  1.3436e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.2106	     -1.0391	     -3.5929	     -5.4032	
           4	     2.11841	     10.5877	  1.9999e-03	  2.7157e-02	  9.8817e-03	  7.4376e-03	  9.1320e-04	  1.3436e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0220	     -0.9113	     -3.4999	     -5.3103	
           5	     2.15314	     10.5845	  2.4999e-03	  2.7157e-02	  9.8816e-03	  7.4375e-03	  9.1319e-04	  1.3435e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.8569	     -0.8115	     -3.4001	     -5.2104	
           6	     2.19058	     10.5812	  2.9998e-03	  2.7156e-02	  9.8815e-03	  7.4374e-03	  9.1318e-04	  1.3434e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7041	     -0.7294	     -3.2923	     -5.1025	
           7	      2.2312	     10.5777	  3.4998e-03	  2.7156e-02	  9.8814e-03	  7.4374e-03	  9.1317e-04	  1.3433e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5572	     -0.6595	     -3.1752	     -4.9851	
           8	     2.27561	     10.5739	  3.9997e-03	  2.7156e-02	  9.8813e-03	  7.4373e-03	  9.1317e-04	  1.3433e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.4117	     -0.5986	     -3.0471	     -4.8563	
           9	     2.32462	     10.5698	  4.4996e-03	  2.7156e-02	  9.8812e-03	  7.4372e-03	  9.1316e-04	  1.3432e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2639	     -0.5444	     -2.9055	     -4.7138	
          10	     2.37931	     10.5652	  4.9996e-03	  2.7155e-02	  9.8811e-03	  7.4372e-03	  9.1315e-04	  1.3432e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1100	     -0.4957	     -2.7474	     -4.5543	
          11	     2.44124	     10.5599	  5.4995e-03	  2.7155e-02	  9.8811e-03	  7.4371e-03	  9.1314e-04	  1.3431e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9462	     -0.4512	     -2.5682	     -4.3732	
          12	     2.51262	     10.5535	  5.9994e-03	  2.7155e-02	  9.8810e-03	  7.4371e-03	  9.1313e-04	  1.3431e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7670	     -0.4104	     -2.3618	     -4.1638	
          13	     2.59692	     10.5456	  6.4992e-03	  2.7155e-02	  9.8809e-03	  7.4370e-03	  9.1312e-04	  1.3430e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5650	     -0.3726	     -2.1182	     -3.9157	
          14	      2.6998	     10.5346	  6.9991e-03	  2.7155e-02	  9.8808e-03	  7.4369e-03	  9.1312e-04	  1.3430e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.3286	     -0.3372	     -1.8220	     -3.6120	
