         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	          Ca	          Mg	          Na	           K	          Cl	  si_Calcite	 si_Dolomite	   si_Gypsum	   si_Halite	
           1	      i_soln	           1	         -99	         -99	         -99	         7.2	           4	         -99	      25.000	  0.00399802	   0.0094873	           1	  0.00102398	     8.18878	  1.9968e-03	  9.8758e-04	  1.0009e-03	  7.6754e-05	  9.8763e-04	      0.0134	     -0.1668	     -1.8675	     -7.6657	
           1	      i_exch	           1	         -99	         -99	         -99	         7.2	           4	         -99	      25.000	  0.00399802	   0.0094873	           1	  0.00102398	     8.18878	  1.9968e-03	  9.8758e-04	  1.0009e-03	  7.6754e-05	  9.8763e-04	      0.0134	     -0.1668	     -1.8675	     -7.6657	
           1	       react	           1	         -99	           0	           1	     7.17901	     3.98145	  1.0000e-02	      25.000	  0.00399802	   0.0205878	           1	  0.00102398	      3.1608	  2.8179e-03	  1.3547e-03	  8.6129e-03	  8.7222e-05	  1.0988e-02	      0.0638	     -0.0730	     -1.8700	     -5.7184	
           1	       react	           1	         -99	           0	           2	     7.16447	      3.9789	  2.0000e-02	      25.000	  0.00399802	   0.0314964	           1	  0.00102398	     1.95731	  3.4969e-03	  1.6458e-03	  1.6665e-02	  9.4304e-05	  2.0988e-02	      0.0906	     -0.0251	     -1.8796	     -5.1733	
           1	       react	           1	         -99	           0	           3	     7.15295	      3.9826	  3.0000e-02	      25.000	  0.00399802	   0.0422932	           1	  0.00102398	     1.41729	  4.0945e-03	  1.8935e-03	  2.4968e-02	  9.9766e-05	  3.0988e-02	      0.1071	      0.0033	     -1.8915	     -4.8459	
           1	       react	           1	         -99	           0	           4	     7.14325	     3.98929	  4.0000e-02	      25.000	  0.00399802	   0.0530119	           1	  0.00102398	     1.11071	  4.6362e-03	  2.1115e-03	  3.3443e-02	  1.0426e-04	  4.0988e-02	      0.1182	      0.0213	     -1.9039	     -4.6117	
           1	       react	           1	         -99	           0	           5	     7.13478	     3.99757	  5.0000e-02	      25.000	  0.00399802	   0.0636712	           1	  0.00102398	     0.91313	  5.1356e-03	  2.3072e-03	  4.2049e-02	  1.0809e-04	  5.0988e-02	      0.1259	      0.0330	     -1.9164	     -4.4295	
           1	       react	           1	         -99	           0	           6	     7.12722	     4.00675	  6.0000e-02	      25.000	  0.00399802	   0.0742826	           1	  0.00102398	    0.775203	  5.6011e-03	  2.4852e-03	  5.0758e-02	  1.1146e-04	  6.0988e-02	      0.1315	      0.0406	     -1.9287	     -4.2804	
           1	       react	           1	         -99	           0	           7	     7.12035	     4.01643	  7.0000e-02	      25.000	  0.00399802	   0.0848541	           1	  0.00102398	     0.67346	  6.0384e-03	  2.6488e-03	  5.9553e-02	  1.1446e-04	  7.0988e-02	      0.1354	      0.0454	     -1.9407	     -4.1544	
           1	       react	           1	         -99	           0	           8	     7.11403	     4.02639	  8.0000e-02	      25.000	  0.00399802	   0.0953917	           1	  0.00102398	    0.595316	  6.4516e-03	  2.8002e-03	  6.8420e-02	  1.1717e-04	  8.0988e-02	      0.1383	      0.0482	     -1.9523	     -4.0451	
           1	       react	           1	         -99	           0	           9	     7.10816	      4.0365	  9.0000e-02	      25.000	  0.00399802	      0.1059	           1	  0.00102398	    0.533415	  6.8438e-03	  2.9412e-03	  7.7351e-02	  1.1966e-04	  9.0988e-02	      0.1403	      0.0495	     -1.9636	     -3.9488	
           1	       react	           1	         -99	           0	          10	     7.10267	     4.04666	  1.0000e-01	      25.000	  0.00399802	    0.116381	           1	  0.00102398	     0.48317	  7.2174e-03	  3.0731e-03	  8.6338e-02	  1.2195e-04	  1.0099e-01	      0.1416	      0.0496	     -1.9746	     -3.8626	
           1	       react	           1	         -99	           0	          11	      7.0975	     4.05681	  1.1000e-01	      25.000	  0.00399802	    0.126839	           1	  0.00102398	    0.441572	  7.5743e-03	  3.1969e-03	  9.5374e-02	  1.2408e-04	  1.1099e-01	      0.1424	      0.0488	     -1.9852	     -3.7847	
