         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	          Fe	           S	           K	      Pyrite	    d_Pyrite	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Goethite	  d_Goethite	  Jarosite-K	d_Jarosite-K	       O2(g)	     d_O2(g)	   si_Pyrite	si_Fe(OH)3(a)	 si_Goethite	si_Jarosite-K	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	         -99	      25.000	 1.26002e-09	 0.000150102	           1	 9.99987e-05	     33.3103	  0.0000e+00	  0.0000e+00	  1.0000e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	   -999.9990	   -999.9990	   -999.9990	
           1	       react	           1	         -99	        3600	           1	     3.06614	     17.5608	         -99	      25.000	 -0.00103239	  0.00163433	    0.999986	 9.99987e-05	      4.5171	  8.8360e-05	  5.1775e-04	  1.4745e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.5255e-05	  8.5255e-05	  9.9984e+00	 -1.5580e-03	   -225.8062	     -1.0013	      4.8897	      0.0000	
           1	       react	           1	         -99	        7200	           2	     2.86639	     17.7605	         -99	      25.000	 -0.00221581	  0.00339721	    0.999979	 9.99987e-05	     2.31094	  4.4015e-04	  1.2782e-03	  5.1821e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.9482e-05	  9.9482e-05	  9.9970e+00	 -3.0371e-03	   -224.3406	     -0.9020	      4.9890	      0.0000	
           1	       react	           1	         -99	       21600	           3	     2.58028	     18.0466	         -99	      25.000	 -0.00724584	  0.00890154	    0.999961	 9.99987e-05	      0.8911	  2.1158e-03	  4.6309e-03	  1.7862e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.9821e-05	  9.9821e-05	  9.9907e+00	 -9.3240e-03	   -222.8481	     -1.2632	      4.6279	     -0.0000	
           1	       react	           1	         -99	       86400	           4	     2.15235	     18.4746	         -99	      25.000	  -0.0319581	   0.0291428	    0.999888	 9.99985e-05	    0.258608	  1.0357e-02	  2.1108e-02	  1.3143e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.8686e-05	  9.8686e-05	  9.9598e+00	 -4.0209e-02	   -221.3287	     -2.2205	      3.6707	      0.0000	
           1	       react	           1	         -99	      172800	           5	     1.92857	     18.6985	         -99	      25.000	  -0.0668971	   0.0541493	    0.999784	 9.99987e-05	    0.135654	  2.2017e-02	  4.4410e-02	  5.8929e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.4108e-05	  9.4108e-05	  9.9161e+00	 -8.3868e-02	   -220.6450	     -2.7607	      3.1307	      0.0000	
           1	       react	           1	         -99	      259200	           6	     1.80149	     18.8257	         -99	      25.000	   -0.102654	   0.0783281	    0.999677	 9.99988e-05	    0.092722	  3.3961e-02	  6.8265e-02	  1.4435e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.5570e-05	  8.5570e-05	  9.8715e+00	 -1.2854e-01	   -220.2701	     -3.0687	      2.8230	      0.0000	
           1	       react	           1	         -99	      432000	           7	     1.63974	     18.9877	         -99	      25.000	   -0.180637	     0.12926	    0.999447	 9.99987e-05	   0.0556981	  6.0051e-02	  1.2032e-01	  4.6310e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.3716e-05	  5.3716e-05	  9.7741e+00	 -2.2593e-01	   -219.7984	     -3.4613	      2.4307	      0.0000	
           1	       react	           1	         -99	      604800	           8	     1.55501	     19.0726	         -99	      25.000	   -0.245817	     0.17108	    0.999255	 9.99992e-05	   0.0420261	  8.1897e-02	  1.6385e-01	  8.6004e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.4060e-05	  1.4060e-05	  9.6927e+00	 -3.0730e-01	   -219.5510	     -3.6680	      2.2244	      0.0000	
           1	       react	           1	         -99	      864000	           9	     1.45895	     19.1689	         -99	      25.000	   -0.349583	    0.237076	    0.998946	 9.99987e-05	   0.0303559	  1.1653e-01	  2.3306e-01	  1.0011e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.5632e+00	 -4.3677e-01	   -219.2738	     -3.9053	      1.9876	     -0.2494	
