         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	          As	          Na	          Cl	
           1	      i_soln	           0	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.32869e-09	 0.000489214	           1	-2.81638e-05	    -3.13508	  1.3348e-05	  4.3499e-04	  4.2311e-04	
           1	      i_soln	           1	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           2	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           3	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           4	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           5	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           6	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           7	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           8	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	           9	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          10	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          11	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          12	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          13	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          14	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          15	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          16	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          17	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          18	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          19	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      i_soln	          20	         -99	         -99	         -99	           7	          12	         -99	      25.000	 1.21651e-09	 1.00661e-07	           1	-1.21651e-09	   -0.604265	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	           0	           0	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	        4320	           1	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	        8640	           2	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       12960	           3	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       17280	           4	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       21600	           5	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       25920	           6	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       30240	           7	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       34560	           8	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       38880	           9	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	        19.5	       43200	          10	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  3.4665e-25	  1.1297e-23	  1.0989e-23	
           1	      transp	          20	        19.5	       47520	          11	           7	          12	         -99	      25.000	 1.21651e-09	 1.00645e-07	           1	-1.21651e-09	   -0.604357	  1.6655e-21	  5.4287e-20	  5.2804e-20	
