         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	          Ca	           K	          Al	          Si	           C	     Calcite	   d_Calcite	  si_Calcite	si_K-feldspar	si_Kaolinite	   si_Quartz	
           1	      i_soln	           0	         -99	         -99	         -99	           4	          -4	         -99	     100.000	  0.00224067	   0.0364576	           1	   0.0127593	     17.4988	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.0000e-01	  0.0000e+00	  0.0000e+00	   -999.9990	   -999.9990	   -999.9990	   -999.9990	
           1	      i_soln	           1	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           2	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           3	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           4	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           5	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           6	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           7	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           8	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	           9	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      i_soln	          10	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	       react	           0	         -99	           1	           1	     4.93662	    -2.54036	         -99	     100.000	   0.0246357	   0.0597515	    0.999804	   0.0127593	     12.1059	  1.1197e-02	  1.2376e-08	  1.5203e-07	  1.7678e-07	  5.1130e-01	  9.9888e+00	 -1.1195e-02	      0.0000	    -19.6788	     -7.3615	     -3.6402	
           1	      transp	           1	         0.5	           0	           0	     6.00373	    -2.50336	         -99	     100.000	  0.00235257	   0.0479903	     1.00006	   0.0249516	     29.5324	  6.1018e-03	  9.9994e-05	  0.0000e+00	  9.9994e-05	  6.1018e-03	  1.0004e+01	  3.8979e-03	      0.0000	   -999.9990	   -999.9990	     -0.8965	
           1	      transp	           5	         4.5	           0	           0	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      transp	          10	         9.5	           0	           0	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      transp	           1	         0.5	 1.57788e+07	           1	     5.02547	    -2.62978	         -99	     100.000	    0.027705	   0.0611485	    0.998947	   0.0131212	     11.6764	  8.2949e-03	  9.2344e-03	  6.6619e-09	  1.8466e-02	  4.9397e-01	  9.9975e+00	 -6.4250e-03	      0.0000	      0.0001	      0.0000	      1.3790	
           1	      transp	           5	         4.5	 1.57788e+07	           1	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      transp	          10	         9.5	 1.57788e+07	           1	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	      transp	           1	         0.5	 3.15576e+07	           2	     5.02048	    -2.62485	         -99	     100.000	   0.0281345	   0.0613056	    0.998939	   0.0127701	     11.3289	  8.3176e-03	  9.2670e-03	  6.6462e-09	  1.8534e-02	  5.0841e-01	  9.9892e+00	 -8.3095e-03	      0.0000	      0.0001	     -0.0000	      1.3808	
