         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	          Ca	           K	          Al	          Si	           C	     Calcite	   d_Calcite	  si_Calcite	si_K-feldspar	si_Kaolinite	   si_Quartz	
           1	      i_soln	           1	         -99	         -99	         -99	         7.5	          -4	         -99	     100.000	   0.0101484	   0.0548972	           1	   0.0249516	      26.501	  1.0000e-02	  1.0000e-04	  0.0000e+00	  1.0000e-04	  1.0000e-02	  0.0000e+00	  0.0000e+00	      2.1728	   -999.9990	   -999.9990	     -0.9091	
           1	       react	           1	         -99	 1.57788e+07	           1	     5.99606	    -2.53593	         -99	     100.000	  0.00397913	   0.0488767	     1.00001	   0.0249516	      29.084	  6.1878e-03	  4.6379e-04	  3.6379e-04	  1.1914e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0008	      5.6163	      0.1485	
           1	       react	           1	         -99	 3.15576e+07	           2	     5.99606	    -2.53593	         -99	     100.000	  0.00397975	   0.0488768	     1.00001	   0.0249516	     29.0839	  6.1878e-03	  4.6394e-04	  3.6394e-04	  1.1918e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0016	      5.6170	      0.1487	
           1	       react	           1	         -99	 4.73364e+07	           3	     5.99606	    -2.53594	         -99	     100.000	  0.00397927	   0.0488767	     1.00001	   0.0249516	      29.084	  6.1878e-03	  4.6382e-04	  3.6382e-04	  1.1915e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0010	      5.6164	      0.1486	
           1	       react	           1	         -99	 6.31152e+07	           4	     5.99606	    -2.53594	         -99	     100.000	  0.00397856	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6364e-04	  3.6364e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	  7.8894e+07	           5	     5.99606	    -2.53594	         -99	     100.000	  0.00397864	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6366e-04	  3.6366e-04	  1.1910e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0001	      5.6157	      0.1484	
           1	       react	           1	         -99	 9.46728e+07	           6	     5.99606	    -2.53593	         -99	     100.000	  0.00397863	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6366e-04	  3.6366e-04	  1.1910e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0001	      5.6157	      0.1484	
           1	       react	           1	         -99	 1.10452e+08	           7	     5.99606	    -2.53595	         -99	     100.000	  0.00397917	   0.0488767	     1.00001	   0.0249516	      29.084	  6.1878e-03	  4.6380e-04	  3.6380e-04	  1.1914e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0009	      5.6163	      0.1486	
           1	       react	           1	         -99	  1.2623e+08	           8	     5.99606	    -2.53593	         -99	     100.000	   0.0039787	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6368e-04	  3.6368e-04	  1.1910e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0002	      5.6158	      0.1484	
           1	       react	           1	         -99	 1.42009e+08	           9	     5.99606	    -2.53595	         -99	     100.000	  0.00397856	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6364e-04	  3.6364e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	 1.57788e+08	          10	     5.99606	    -2.53595	         -99	     100.000	  0.00397906	   0.0488767	     1.00001	   0.0249516	      29.084	  6.1878e-03	  4.6377e-04	  3.6377e-04	  1.1913e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0007	      5.6162	      0.1485	
           1	       react	           1	         -99	 1.73567e+08	          11	     5.99606	    -2.53596	         -99	     100.000	  0.00397874	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6369e-04	  3.6369e-04	  1.1911e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0003	      5.6158	      0.1484	
           1	       react	           1	         -99	 1.89346e+08	          12	     5.99606	    -2.53594	         -99	     100.000	  0.00397856	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6364e-04	  3.6364e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	 2.05124e+08	          13	     5.99606	    -2.53593	         -99	     100.000	  0.00397884	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6371e-04	  3.6371e-04	  1.1911e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0004	      5.6159	      0.1485	
           1	       react	           1	         -99	 2.20903e+08	          14	     5.99606	    -2.53595	         -99	     100.000	  0.00397858	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6365e-04	  3.6365e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	 2.36682e+08	          15	     5.99606	    -2.53595	         -99	     100.000	  0.00397889	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6372e-04	  3.6373e-04	  1.1912e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0005	      5.6160	      0.1485	
           1	       react	           1	         -99	 2.52461e+08	          16	     5.99606	    -2.53592	         -99	     100.000	  0.00397856	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6364e-04	  3.6364e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	  2.6824e+08	          17	     5.99606	    -2.53595	         -99	     100.000	  0.00397857	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6364e-04	  3.6364e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	 2.84018e+08	          18	     5.99606	    -2.53593	         -99	     100.000	  0.00397975	   0.0488768	     1.00001	   0.0249516	     29.0839	  6.1878e-03	  4.6394e-04	  3.6394e-04	  1.1918e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0016	      5.6170	      0.1487	
           1	       react	           1	         -99	 2.99797e+08	          19	     5.99606	    -2.53592	         -99	     100.000	  0.00397856	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6364e-04	  3.6364e-04	  1.1909e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0000	      5.6156	      0.1484	
           1	       react	           1	         -99	 3.15576e+08	          20	     5.99606	    -2.53596	         -99	     100.000	  0.00397871	   0.0488766	     1.00001	   0.0249516	     29.0841	  6.1878e-03	  4.6368e-04	  3.6368e-04	  1.1910e-03	  6.1878e-03	  1.0004e+01	  3.8122e-03	      0.0000	      0.0002	      5.6158	      0.1484	
